Combination,Python,Java,Pharo,TEXT,NLP,NLP+TEXT,Naive Bayes,J48,Random Forest,F-MEASURE
17,0,1,0,0,1,0,0,0,1,0.852495526
17,0,1,0,0,1,0,0,0,1,0.9564792941
17,0,1,0,0,1,0,0,0,1,0.7166874245
17,0,1,0,0,1,0,0,0,1,0.9308004216
17,0,1,0,0,1,0,0,0,1,0.8401760446
17,0,1,0,0,1,0,0,0,1,0.7842707857
18,0,1,0,0,0,1,0,0,1,0.9778003171
18,0,1,0,0,0,1,0,0,1,0.8559551056
18,0,1,0,0,0,1,0,0,1,0.9946173239
18,0,1,0,0,0,1,0,0,1,0.9085447985
18,0,1,0,0,0,1,0,0,1,0.9458801828
18,0,1,0,0,0,1,0,0,1,0.8661148199
18,0,1,0,0,0,1,0,0,1,0.8716899089
19,0,0,1,1,0,0,1,0,0,0.9305266302
19,0,0,1,1,0,0,1,0,0,0.8509638939
19,0,0,1,1,0,0,1,0,0,0.6974764418
19,0,0,1,1,0,0,1,0,0,0.8310867741
19,0,0,1,1,0,0,1,0,0,0.8363041921
19,0,0,1,1,0,0,1,0,0,0.7440088402
20,0,0,1,0,1,0,1,0,0,0.9379099591
20,0,0,1,0,1,0,1,0,0,0.8836686417
20,0,0,1,0,1,0,1,0,0,0.6547179796
20,0,0,1,0,1,0,1,0,0,0.8847917912
20,0,0,1,0,1,0,1,0,0,0.8459720776
20,0,0,1,0,1,0,1,0,0,0.7872128069
21,0,0,1,0,0,1,1,0,0,0.9364903115
21,0,0,1,0,0,1,1,0,0,0.8740074995
21,0,0,1,0,0,1,1,0,0,0.7293844106
21,0,0,1,0,0,1,1,0,0,0.8687746158
21,0,0,1,0,0,1,1,0,0,0.8443876931
21,0,0,1,0,0,1,1,0,0,0.7788344681
22,0,0,1,1,0,0,0,1,0,0
22,0,0,1,1,0,0,0,1,0,0.1814482049
22,0,0,1,1,0,0,0,1,0,0.6641612637
22,0,0,1,1,0,0,0,1,0,0.8730239457
22,0,0,1,1,0,0,0,1,0,0.7889806715
22,0,0,1,1,0,0,0,1,0,0.7271905962
23,0,0,1,0,1,0,0,1,0,0.0954997078
23,0,0,1,0,1,0,0,1,0,0.7245243416
23,0,0,1,0,1,0,0,1,0,0.6494866331
23,0,0,1,0,1,0,0,1,0,0.8962577022
23,0,0,1,0,1,0,0,1,0,0.2635414465
23,0,0,1,0,1,0,0,1,0,0.7628378606
24,0,0,1,0,0,1,0,1,0,0.0954997078
24,0,0,1,0,0,1,0,1,0,0.8186398983
24,0,0,1,0,0,1,0,1,0,0.6932723247
24,0,0,1,0,0,1,0,1,0,0.8957794909
24,0,0,1,0,0,1,0,1,0,0.7897915464
24,0,0,1,0,0,1,0,1,0,0.7696811836
25,0,0,1,1,0,0,0,0,1,0.1947912644
25,0,0,1,1,0,0,0,0,1,0.7304549684
25,0,0,1,1,0,0,0,0,1,0.8304226512
25,0,0,1,1,0,0,0,0,1,0.8776796533
25,0,0,1,1,0,0,0,0,1,0.8941471527
25,0,0,1,1,0,0,0,0,1,0.7585533099
26,0,0,1,0,1,0,0,0,1,0.672747702
26,0,0,1,0,1,0,0,0,1,0.9169797456
26,0,0,1,0,1,0,0,0,1,0.6935732611
26,0,0,1,0,1,0,0,0,1,0.9002003589
26,0,0,1,0,1,0,0,0,1,0.8831219856
26,0,0,1,0,1,0,0,0,1,0.8057261706
27,0,0,1,0,0,1,0,0,1,0.2911103632
27,0,0,1,0,0,1,0,0,1,0.8254024027
27,0,0,1,0,0,1,0,0,1,0.8461180186
27,0,0,1,0,0,1,0,0,1,0.9003406114
27,0,0,1,0,0,1,0,0,1,0.8943664002
27,0,0,1,0,0,1,0,0,1,0.7785889423
